latitude,longitude,B01.tiff,B02.tiff,B03.tiff,B04.tiff,B05.tiff,B06.tiff,B07.tiff,B08.tiff,B09.tiff,B10.tiff,B11.tiff,B12.tiff,B8A.tiff
-23.191733322614937,-54.437639665243566,0.1226,0.1004,0.1025,0.0935,0.129,0.2674,0.3297,0.3083,0.0441,0.0013,0.3025,0.1718,0.3591
-23.191733322614937,-54.43754979382463,0.1225,0.1004,0.1014,0.0964,0.1276,0.2685,0.3332,0.3074,0.0439,0.0013,0.2999,0.1686,0.362
-23.191733322614937,-54.43745992240569,0.1224,0.0961,0.0984,0.0862,0.1249,0.2715,0.3397,0.3107,0.0436,0.0014,0.2964,0.1645,0.3661
-23.191733322614937,-54.43737005098675,0.1223,0.0937,0.0965,0.079,0.1247,0.2683,0.3338,0.3202,0.0434,0.0014,0.2939,0.1656,0.3581
-23.191733322614937,-54.43728017956781,0.1223,0.0959,0.0981,0.0834,0.1266,0.2598,0.3167,0.3079,0.0432,0.0014,0.2924,0.1714,0.3391
-23.191733322614937,-54.437190308148864,0.1223,0.0988,0.1004,0.0965,0.1279,0.2552,0.3093,0.2809,0.0431,0.0014,0.2925,0.1737,0.3318
-23.191733322614937,-54.43710043672993,0.1224,0.0979,0.0985,0.0955,0.1286,0.2552,0.3142,0.2867,0.043,0.0014,0.295,0.1713,0.3398
-23.191733322614937,-54.437010565310985,0.1225,0.0969,0.0972,0.0874,0.1279,0.2585,0.3217,0.302,0.043,0.0014,0.2955,0.1681,0.3485
-23.191733322614937,-54.43692069389204,0.1227,0.0974,0.0996,0.0869,0.1247,0.2668,0.3307,0.3081,0.043,0.0014,0.292,0.1649,0.3541
-23.191733322614937,-54.43683082247311,0.1229,0.0965,0.0993,0.0866,0.1222,0.2733,0.3375,0.3083,0.0431,0.0014,0.2887,0.1622,0.3585
-23.191733322614937,-54.43674095105416,0.1232,0.096,0.0968,0.0859,0.1225,0.2731,0.3391,0.3092,0.0431,0.0014,0.2878,0.1595,0.3638
-23.191733322614937,-54.436651079635226,0.1234,0.0967,0.0965,0.0862,0.1239,0.2697,0.3368,0.309,0.0431,0.0014,0.2883,0.159,0.3652
-23.191733322614937,-54.43656120821628,0.1237,0.0963,0.0974,0.0851,0.1247,0.2642,0.329,0.3052,0.043,0.0014,0.2898,0.1647,0.3534
-23.191733322614937,-54.43647133679734,0.124,0.0972,0.0985,0.0907,0.126,0.2573,0.318,0.296,0.043,0.0014,0.2922,0.1732,0.3362
-23.191733322614937,-54.4363814653784,0.1244,0.0992,0.1002,0.1033,0.1295,0.2512,0.3083,0.276,0.0429,0.0014,0.2945,0.1777,0.3288
-23.191733322614937,-54.43629159395946,0.1248,0.0989,0.0999,0.1076,0.1345,0.2465,0.3004,0.263,0.0428,0.0014,0.2972,0.1797,0.3283
